CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
58;1;520;A;9;1;16412;275
58;1;521;A;9;1;16413;303
58;1;522;A;9;1;16414;300
58;1;523;A;9;1;16415;275
58;1;525;A;9;1;16443;262
58;1;528;A;9;1;16563;281
58;1;529;A;9;1;17551;267
58;1;530;A;9;1;17556;272
58;1;531;A;9;1;16839;262
58;1;533;A;9;1;23149;271
58;1;534;A;9;1;16940;278
58;1;537;A;9;1;17075;265
58;1;538;A;9;1;17129;279
58;1;539;A;9;1;17190;294
58;1;540;A;9;1;17208;303
58;1;541;A;9;1;17221;277
58;1;545;A;9;1;17682;294
58;1;548;A;9;1;17776;294
58;1;552;A;9;1;17973;284
58;1;553;A;9;1;18110;299
58;1;555;A;9;1;18150;294
58;1;556;A;9;1;18361;296
58;1;558;A;9;1;18383;265
58;1;559;A;9;1;21524;279
58;1;560;A;9;1;18446;291
58;1;561;A;9;1;18448;296
58;1;563;A;9;1;18501;262
58;1;565;A;9;1;18723;258
58;1;566;A;9;1;18837;256
58;1;567;A;9;1;18844;271
58;1;568;A;9;1;26463;268
58;1;569;A;9;1;18905;268
58;1;570;A;9;1;18913;258
58;1;572;A;9;1;19017;291
58;1;573;A;9;1;19073;299
58;1;574;A;9;1;19092;287
58;1;576;A;9;1;19179;267
58;1;577;A;9;1;19301;267
58;1;578;A;9;1;19401;275
58;1;579;A;9;1;19406;267
58;1;580;A;9;1;19454;275
58;1;583;A;9;1;19540;258
58;1;585;A;9;1;19584;272
58;1;586;A;9;1;19655;280
58;1;587;A;9;1;19780;258
58;1;589;A;9;1;19800;300
58;1;590;A;9;1;19801;299
58;1;591;A;9;1;19824;258
58;1;592;A;9;1;19836;258
58;1;593;A;9;1;19872;256
58;1;594;A;9;1;24661;270
58;1;595;A;9;1;19877;267
58;1;597;A;9;1;20007;277
58;1;599;A;9;1;20151;293
58;1;601;A;9;1;20209;258
58;1;602;A;9;1;20340;294
58;1;604;A;9;1;20470;256
58;1;607;A;9;1;20579;256
58;1;609;A;9;1;20692;267
58;1;610;A;9;1;20763;267
58;1;611;A;9;1;10698;270
58;1;612;A;9;1;21060;284
58;1;613;A;9;1;21142;302
58;1;614;A;9;1;21177;292
58;1;615;A;9;1;21213;293
58;1;617;A;9;1;21401;300
58;1;619;A;9;1;21418;256
58;1;620;A;9;1;21491;302
58;1;621;A;9;1;21523;262
58;1;622;A;9;1;21525;262
58;1;623;A;9;1;21531;284
58;1;624;A;9;1;21533;287
58;1;625;A;9;1;21581;275
58;1;626;A;9;1;21593;287
58;1;627;A;9;1;21639;303
58;1;629;A;9;1;21990;294
58;1;632;A;9;1;22046;258
58;1;633;A;9;1;22064;291
58;1;634;A;9;1;22103;293
58;1;635;A;9;1;22124;280
58;1;637;A;9;1;22487;271
58;1;638;A;9;1;22490;270
58;1;639;A;9;1;21240;265
58;1;640;A;9;1;22540;265
58;1;641;A;9;1;22500;265
58;1;645;A;9;1;22867;258
58;1;646;A;9;1;23058;256
58;1;649;A;9;1;23543;300
58;1;650;A;9;1;23353;285
58;1;651;A;9;1;23367;296
58;1;652;A;9;1;23439;280
