CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
58;1;8523;8522;
58;1;8524;;8525
58;1;8525;8524;52443
58;1;8526;52443;
58;1;8531;;52445
58;1;8532;52445;8533
58;1;8533;8532;8534
58;1;8534;8533;
58;1;8536;;8537
58;1;8537;8536;
58;1;8538;;8539
58;1;8539;8538;
58;1;8540;;8541
58;1;8541;8540;
58;1;8543;52104;8544
58;1;8544;8543;
58;1;8545;;8546
58;1;8546;8545;33583
58;1;8548;31784;8549
58;1;8549;8548;8550
58;1;8550;8549;33060
58;1;8551;33060;33062
58;1;8552;33062;
58;1;8553;;54018
58;1;8554;54018;8555
58;1;8555;8554;
58;1;8556;;8557
58;1;8557;8556;8558
58;1;8558;8557;
58;1;8559;;8560
58;1;8560;8559;
58;1;8561;;8562
58;1;8562;8561;8563
58;1;8563;8562;34182
58;1;8564;;8565
58;1;8565;8564;8566
58;1;8566;8565;8567
58;1;8567;8566;33278
58;1;8568;33278;8569
58;1;8569;8568;8570
58;1;8570;8569;8571
58;1;8571;8570;8572
58;1;8572;8571;8573
58;1;8573;8572;52433
58;1;8574;52433;8575
58;1;8575;8574;8576
58;1;8576;8575;8577
58;1;8577;8576;8578
58;1;8578;8577;34106
58;1;8579;34106;
58;1;8580;;8581
58;1;8581;8580;8582
58;1;8582;8581;8583
58;1;8583;8582;
58;1;8584;;49231
58;1;8585;49231;
58;1;8586;;8587
58;1;8587;8586;
58;1;8589;;8590
58;1;8590;8589;
58;1;8591;;8592
58;1;8592;8591;
58;1;8593;;8594
58;1;8594;8593;8595
58;1;8595;8594;
58;1;8596;;31533
58;1;8597;;52168
58;1;8599;52017;
58;1;8600;;54540
58;1;8601;54540;
58;1;8602;;8603
58;1;8603;8602;52132
58;1;8604;52132;
58;1;8605;;54520
58;1;8608;;8609
58;1;8609;8608;8610
58;1;8610;8609;8611
58;1;8611;8610;
58;1;8617;47804;47805
58;1;8620;;8621
58;1;8621;8620;
58;1;8626;39065;8627
58;1;8627;8626;8628
58;1;8628;8627;39448
58;1;8629;;8630
58;1;8630;8629;40072
58;1;8631;;8632
58;1;8632;8631;8633
58;1;8633;8632;
58;1;8635;43655;8636
58;1;8636;8635;8637
58;1;8637;8636;34126
58;1;8639;;8640
58;1;8640;8639;
58;1;8641;;52100
58;1;8642;52100;
58;1;8643;;8644
58;1;8644;8643;
58;1;8645;;39066
58;1;8646;;39068
58;1;8647;39068;40062
58;1;8648;;39037
58;1;8649;;8650
58;1;8650;8649;
58;1;8651;;43416
58;1;8652;;8653
58;1;8653;8652;8654
58;1;8654;8653;
58;1;8655;;48318
58;1;8656;48318;8657
58;1;8657;8656;
58;1;8658;55308;
58;1;8659;55756;
58;1;8661;39080;8662
58;1;8662;8661;8663
58;1;8663;8662;
58;1;8664;;8665
58;1;8665;8664;
58;1;8666;;8667
58;1;8667;8666;
58;1;8668;;8669
58;1;8669;8668;
58;1;8671;;8672
58;1;8672;8671;
58;1;8673;;8674
58;1;8674;8673;
58;1;8675;;30994
58;1;8676;30994;8677
58;1;8677;8676;8678
58;1;8678;8677;57844
58;1;8679;57844;33061
58;1;8680;33061;36031
58;1;8682;39050;8683
58;1;8683;8682;8684
58;1;8684;8683;
58;1;8687;;8688
58;1;8688;8687;8689
58;1;8689;8688;
58;1;8690;;39077
58;1;8692;39077;39040
58;1;8693;33063;
58;1;8694;;39078
58;1;8696;54879;54880
58;1;8697;54880;14172
58;1;8698;14172;
58;1;8700;;45658
58;1;8701;;8703
58;1;8703;8701;
58;1;8705;;8706
58;1;8706;8705;57847
58;1;8707;;14174
58;1;8708;14174;
58;1;8709;;8710
58;1;8710;8709;54892
58;1;8713;;8714
58;1;8714;8713;33325
58;1;8715;33326;42374
58;1;8718;;8719
58;1;8719;8718;57838
58;1;8720;57839;57840
58;1;8721;57840;57841
58;1;8722;57841;8723
58;1;8723;8722;8724
58;1;8724;8723;39045
58;1;8725;39045;39041
58;1;8726;39044;8727
58;1;8727;8726;8728
58;1;8728;8727;54126
58;1;8729;54126;8730
58;1;8730;8729;8731
58;1;8731;8730;8732
58;1;8732;8731;
58;1;8733;;8735
58;1;8735;8733;33330
58;1;8736;33286;
58;1;8740;;8741
58;1;8741;8740;8742
58;1;8742;8741;
58;1;8743;;8744
58;1;8744;8743;8745
58;1;8745;8744;
58;1;8747;;8748
58;1;8748;8747;42345
58;1;8753;54900;
58;1;8754;42160;8755
58;1;8755;8754;30951
58;1;8758;;54967
58;1;8760;54885;
58;1;8761;;8762
58;1;8762;8761;
58;1;8765;;39290
58;1;8767;;8768
58;1;8768;8767;54943
58;1;8771;;8772
58;1;8772;8771;57846
58;1;8773;;8774
58;1;8774;8773;
58;1;8775;;14173
58;1;8776;14173;8777
58;1;8777;8776;
58;1;8778;60093;8779
58;1;8779;8778;30944
58;1;8781;40930;30945
58;1;8782;;8783
58;1;8783;8782;8784
58;1;8784;8783;
58;1;8785;31517;8786
58;1;8786;8785;8787
58;1;8787;8786;8788
58;1;8788;8787;8789
58;1;8789;8788;8790
58;1;8790;8789;54143
58;1;8791;54143;8792
58;1;8792;8791;8793
58;1;8793;8792;8794
58;1;8794;8793;
58;1;8796;;8798
58;1;8798;8796;36562
58;1;8799;36562;53432
58;1;8804;;8805
58;1;8805;8804;8806
58;1;8806;8805;
58;1;8812;;8813
58;1;8813;8812;55751
58;1;8816;;43418
58;1;8817;40825;
58;1;8818;;8819
58;1;8819;8818;
58;1;8820;;8821
58;1;8821;8820;40864
58;1;8822;40865;
58;1;8823;;8824
58;1;8824;8823;
58;1;8825;;39191
58;1;8828;;39051
58;1;8829;;8830
58;1;8830;8829;
58;1;8833;;8834
58;1;8834;8833;
58;1;8836;;54220
58;1;8837;54220;
