CID;LID;NID;NAME;NCOMMENT
58;1;163;A72 Zwickau-Chemnitz;
58;1;164;A73 Bamberg-Suhl;
58;1;165;A8;
58;1;166;A8 München-Stuttgart;
58;1;167;A8 Stuttgart-München;
58;1;168;A81;
58;1;169;A81 Singen-Stuttgart;
58;1;170;A9 Berlin-Halle/Leipzig;
58;1;171;A9 Halle/Leipzig-Nürnberg;
58;1;172;A9 Nürnberg-Halle/Leipzig;
58;1;173;A9 Nürnberg-München;
58;1;174;A92 Deggendorf-München;
58;1;175;A92 München-Deggendorf;
58;1;176;A93 Hof-Weiden;
58;1;177;A93 Regensburg-Weiden;
58;1;178;A93 Rosenheim-Kiefersfelden;
58;1;179;A93 Weiden-Hof;
58;1;180;A93/AS Wernberg-Köblitz;
58;1;181;A96 Lindau-München;
58;1;182;A96 München-Lindau;
58;1;183;A98 Weil am Rhein-Tiengen;
58;1;184;AD Wittstock/Dosse;
58;1;185;AGRA-Messepark;
58;1;186;ARAL Augustinerstraße;
58;1;187;AS Aschersleben Zentrum;
58;1;188;AS Bad Homburg;
58;1;189;AS Bademeusel;
58;1;190;AS Blankenburg Zentrum;
58;1;191;AS Briesen;
58;1;192;AS Chemnitz-Mitte;
58;1;193;AS Cottbus-Süd;
58;1;194;AS Daun an der A1;
58;1;195;AS Dingolfing-Ost;
58;1;196;AS Dorsheim A61;
58;1;197;AS Feldkirchen-West;
58;1;198;AS Frankfurt Rebstock Messeausfahrt;
58;1;199;AS Frankfurt(Oder)-Süd;
58;1;200;AS Freudenberg;
58;1;201;AS Friedberg;
58;1;202;AS Friedersdorf;
58;1;203;AS Glauchau-West;
58;1;204;AS Grünstadt;
58;1;205;AS HH-Allermöhe;
58;1;206;AS Hamburg Schnelsen-Nord;
58;1;207;AS Hamburg-Bahrenfeld;
58;1;208;AS Hamburg-Bergedorf;
58;1;209;AS Hamburg-Billstedt;
58;1;210;AS Hamburg-Billstedt-Mitte;
58;1;211;AS Hamburg-Eidelstedt;
58;1;212;AS Hamburg-Georgswerder;
58;1;213;AS Hamburg-Harburg;
58;1;214;AS Hamburg-Heimfeld;
58;1;215;AS Hamburg-Horn;
58;1;216;AS Hamburg-Jenfeld;
58;1;217;AS Hamburg-Marmstorf;
58;1;218;AS Hamburg-Marmstorf-Lürade;
58;1;219;AS Hamburg-Moorburg;
58;1;220;AS Hamburg-Moorfleet;
58;1;221;AS Hamburg-Neuland;
58;1;222;AS Hamburg-Othmarschen;
58;1;223;AS Hamburg-Schnelsen;
58;1;224;AS Hamburg-Schnelsen-Nord;
58;1;225;AS Hamburg-Stellingen;
58;1;226;AS Hamburg-Stillhorn;
58;1;227;AS Hamburg-Volkspark;
58;1;228;AS Hamburg-Waltershof;
58;1;229;AS Hamburg-Wilhelmsburg;
58;1;230;AS Hamburg-Wilhelmsburg-Süd;
58;1;231;AS Hamburg-Wilstorf;
58;1;232;AS Hamburg-Öjendorf;
58;1;233;AS Heimburg;
58;1;234;AS Horner Rampe;
58;1;235;AS Koblenz-Dieblich;
58;1;236;AS Leipzig-Neue Harth;
58;1;237;AS Leipzig-Neue Harth, Zur Weißen Mark;
58;1;238;AS Malchow;
58;1;239;AS Mümmelmannsberg;
58;1;240;AS Nettelnburg;
58;1;241;AS Niederfrohna;
58;1;242;AS Offenburg;
58;1;243;AS Pirna;
58;1;244;AS Potsdam Nord;
58;1;245;AS Quedlinburg Zentrum;
58;1;246;AS Quickborn;
58;1;247;AS Regensburg-Kumpfmühl;
58;1;248;AS Roggosen;
58;1;249;AS Rostock Süd;
58;1;250;AS Sankt Ingbert-West;
58;1;251;AS Suckow;
58;1;252;AS Suhl/Zella-Mehlis;
58;1;253;AS Theessen;
58;1;254;AS Theeßen;
58;1;255;AS Treuen;
58;1;256;AS Wanzleben;
58;1;257;AS Waren;
58;1;258;AS Warnitz;
58;1;259;AS Weinsberg/Ellhofen;
58;1;260;AS Weißensee;
58;1;261;AS Wittenburg;
58;1;262;AS-Frankfurt-Süd;
58;1;263;AWD Arena;
58;1;264;Aabach;
58;1;265;Aach;
58;1;266;Aach im Allgäu;
58;1;267;Aachen;
58;1;268;Aachen (Europaplatz);
58;1;269;Aachen - Europaplatz;
58;1;270;Aachen - Rothe Erde;
58;1;271;Aachen-Brand;
58;1;272;Aachen-Hanbruch;
58;1;273;Aachen-Laurensberg;
58;1;274;Aachen-Lichtenbusch;
58;1;275;Aachen-Preuswald;
58;1;276;Aachen-Soers;
58;1;277;Aachen-Zentrum;
58;1;278;Aachener Land;
58;1;279;Aachener Straße;
58;1;280;Aalbek;
58;1;281;Aalemannufer;
58;1;282;Aalen;
58;1;283;Aalen-Fachsenfeld;
58;1;284;Aalen-Oberkochen/Nord;
58;1;285;Aalen-Oberkochen/Süd;
58;1;286;Aalen-Süd;
58;1;287;Aalen-Unterkochen;
58;1;288;Aalen-West;
58;1;289;Aalen/B29;
58;1;290;Aalen/Oberkochen;
58;1;291;Aalen/Rombachtunnel;
58;1;292;Aalen/Westhausen;
58;1;293;Aarbachkate;
58;1;294;Aarbergen;
58;1;295;Aarbergen-Daisbach;
58;1;296;Aarbergen-Kettenbach;
58;1;297;Aarbergen-Michelbach;
58;1;298;Aarbergen-Panrod;
58;1;299;Aarbergen-Rückershausen;
58;1;300;Aarstraße;
58;1;301;Abbenrode;
58;1;302;Abbensen;
58;1;303;Abbesbüttel;
58;1;304;Abelbeck Kuhbusch;
58;1;305;Abelmannstraße;
58;1;306;Abenberg;
58;1;307;Abenheim;
58;1;308;Abens;
58;1;309;Abensberg;
58;1;310;Abensberg-Offenstetten;
58;1;311;Abersfeld;
58;1;312;Aberzhausen;
58;1;313;Abfahrt Autobahnzubringer Überseestadt;
58;1;314;Abfahrt Besucherpark;
58;1;315;Abfahrt Bremen-Neustadt;
58;1;316;Abfahrt Lego-Land;
58;1;317;Abfahrt Saaruferstraße;
58;1;318;Abfahrt Schwaig;
58;1;319;Abfahrt Siegerlandhalle;
58;1;320;Abflugring;
58;1;321;Abtei;
58;1;322;Abteistraße;
58;1;323;Abtsdorf;
58;1;324;Abtsgmünd;
58;1;325;Abtsgmünd-Hohenstadt;
58;1;326;Abtsgmünd-Pommertsweiler;
58;1;327;Abtsgmünd-Wollstein;
58;1;328;Abtshagen;
58;1;329;Abtsroda;
58;1;330;Abtsteinach;
58;1;331;Abtsteinach - Ober Abtsteinach;
58;1;332;Abtsteinach - Unter Abtsteinach;
58;1;333;Abzw. B 115 (bei Keula);
58;1;334;Abzw. B 156 (bei Krauschwitz);
58;1;335;Abzw. B 2 Böhlen;
58;1;336;Abzw. B 92 Mühlhausen;
58;1;337;Abzw. B 97;
58;1;338;Abzw. Böhlen;
58;1;339;Abzw. Niederfrohna;
58;1;340;Abzw. S 241 (b. Mühlau);
58;1;341;Abzw. S 241 (bei Mühlau);
58;1;342;Abzw. S178 (bei Dohna);
58;1;343;Abzw. S198;
58;1;344;Abzweig A37/B6;
58;1;345;Abzweig AS Halle Ost;
58;1;346;Abzweig Aachen;
58;1;347;Abzweig Alheim-Hergershausen;
58;1;348;Abzweig Alt Zeschdorf;
58;1;349;Abzweig B 6;
58;1;350;Abzweig B 6 (bei Borsdorf);
58;1;351;Abzweig B14/B27;
58;1;352;Abzweig B2;
58;1;353;Abzweig B2 bei Göbschelwitz;
58;1;354;Abzweig B242;
58;1;355;Abzweig B243;
