CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
58;1;8578;L;3;0;B2;;27202;260;50232;;1
58;1;8579;L;3;0;B2;;23152;22009;50232;;686
58;1;8580;L;3;0;B20;;14457;3421;50233;;339
58;1;8581;L;3;0;B20;;3421;4977;50233;;294
58;1;8582;L;3;0;B20;;4977;24801;50233;;264
58;1;8583;L;3;0;B20;;24801;20464;50233;;264
58;1;8584;L;3;0;B202;;22718;21417;50234;;256
58;1;8585;L;3;0;B202;;13448;19542;50234;;256
58;1;8586;L;3;0;B203;;5241;21417;50235;;256
58;1;8587;L;3;0;B203;;21417;13116;50235;;256
58;1;8589;L;3;0;B207;;10433;16254;50237;;1
58;1;8590;L;3;0;B207;;11013;7696;50237;;256
58;1;8591;L;3;0;B208;;2821;21109;50238;;256
58;1;8592;L;3;0;B208;;21109;27869;50238;;1
58;1;8593;L;3;0;B209;;18722;2696;50239;;258
58;1;8594;L;3;0;B209;;24148;16302;50239;;258
58;1;8595;L;3;0;B209;;16302;23421;50239;;1
58;1;8596;L;3;0;B21;;15916;2839;51233;;264
58;1;8597;L;3;0;B210;;7084;27932;50241;;258
58;1;8599;L;3;0;B212;;18823;4591;50243;;1
58;1;8600;L;3;0;B213;;18853;15832;50244;;258
58;1;8601;L;3;0;B213;;5436;5795;50244;;258
58;1;8602;L;3;0;B214;;15832;5927;50245;;258
58;1;8603;L;3;0;B214;;5927;18723;50245;;258
58;1;8604;L;3;0;B214;;5337;4431;50245;;258
58;1;8605;L;3;0;B215;;25817;18723;50246;;258
58;1;8608;L;3;0;B22;;28269;3055;50249;;264
58;1;8609;L;3;0;B22;;3055;3228;50249;;295
58;1;8610;L;3;0;B22;;3228;27020;50249;;264
58;1;8611;L;3;0;B22;;27020;5349;50249;;296
58;1;8617;L;3;0;B224;;26225;7467;50254;;279
58;1;8620;L;3;0;B229;;15100;16282;50257;;260
58;1;8621;L;3;0;B229;;16282;24124;50257;;272
58;1;8626;L;3;0;B236;;3169;15527;50262;;1
58;1;8627;L;3;0;B236;;15527;23510;50262;;272
58;1;8628;L;3;0;B236;;23510;16312;50262;;272
58;1;8629;L;3;0;B239;;12274;5848;50263;;277
58;1;8630;L;3;0;B239;;5848;11256;50263;;277
58;1;8631;L;3;0;B241;;26850;18913;50264;;1
58;1;8632;L;3;0;B241;;18913;19835;50264;;258
58;1;8633;L;3;0;B241;;19835;26296;50264;;258
58;1;8635;L;3;0;B246;;14428;27622;50266;;1
58;1;8636;L;3;0;B246;;27622;17293;50266;;267
58;1;8637;L;3;0;B246;;17293;3288;50266;;267
58;1;8639;L;3;0;B247;;19521;9400;50268;;271
58;1;8640;L;3;0;B247;;9400;13279;50268;;1
58;1;8641;L;3;0;B248;;18913;4431;50269;;258
58;1;8642;L;3;0;B248;;28017;5654;50269;;258
58;1;8643;L;3;0;B25;;6120;7777;50270;;264
58;1;8644;L;3;0;B25;;7777;28220;50270;;319
58;1;8645;L;3;0;B251;;4667;13941;50271;;1
58;1;8646;L;3;0;B252;;16562;13941;50272;;261
58;1;8647;L;3;0;B252;;2618;26850;50272;;1
58;1;8648;L;3;0;B253;;5984;3767;50273;;261
58;1;8649;L;3;0;B254;;8531;768;50274;;261
58;1;8650;L;3;0;B254;;768;13241;50274;;261
58;1;8651;L;3;0;B255;;17370;21434;50275;;1
58;1;8652;L;3;0;B256;;16836;18501;50276;;262
58;1;8653;L;3;0;B256;;18501;26602;50276;;1
58;1;8654;L;3;0;B256;;26602;27859;50276;;574
58;1;8655;L;3;0;B257;;6615;3947;50277;;262
58;1;8656;L;3;0;B257;;25891;13346;50277;;262
58;1;8657;L;3;0;B257;;13346;16856;50277;;262
58;1;8658;L;3;0;L98;;16836;13841;55541;;262
58;1;8659;L;3;0;B258;;3985;267;50278;;287
58;1;8661;L;3;0;B26;;5680;1728;50280;;1
58;1;8662;L;3;0;B26;;1728;23470;50280;;303
58;1;8663;L;3;0;B26;;23470;3055;50280;;264
58;1;8664;L;3;0;B264;;267;6504;50281;;287
58;1;8665;L;3;0;B264;;6504;14349;50281;;287
58;1;8666;L;3;0;B265;;20817;28601;50282;;1
58;1;8667;L;3;0;B265;;28601;14349;50282;;287
58;1;8668;L;3;0;B266;;15868;2816;50283;;262
58;1;8669;L;3;0;B266;;21548;24044;50283;;287
58;1;8671;L;3;0;B268;;22504;16013;50285;;265
58;1;8672;L;3;0;B268;;16013;25671;50285;;1
58;1;8673;L;3;0;B269;;9570;3879;50286;;265
58;1;8674;L;3;0;B269;;3879;3641;50286;;262
58;1;8675;L;3;0;B27;;22807;26336;50287;;263
58;1;8676;L;3;0;B27;;3037;25784;50287;;263
58;1;8677;L;3;0;B27;;25784;24913;50287;;263
58;1;8678;L;3;0;B27;;24913;10994;50287;;263
58;1;8679;L;3;0;B27;;17443;25253;50287;;263
58;1;8680;L;3;0;B27;;28269;13207;50287;;303
58;1;8682;L;3;0;B27;;27951;10116;50287;;1
58;1;8683;L;3;0;B27;;10116;4423;50287;;258
58;1;8684;L;3;0;B27;;4423;3968;50287;;270
58;1;8687;L;3;0;B273;;20685;244;50290;;267
58;1;8688;L;3;0;B273;;17947;14062;50290;;267
58;1;8689;L;3;0;B273;;14062;26820;50290;;267
58;1;8690;L;3;0;B275;;2853;26114;50291;;275
58;1;8692;L;3;0;B275;;8327;7922;50291;;261
58;1;8693;L;3;0;B276;;2827;17645;50292;;1
58;1;8694;L;3;0;B277;;23951;5984;50293;;261
58;1;8696;L;3;0;B28;;11342;25784;50294;;263
58;1;8697;L;3;0;B28;;21491;2897;50294;;263
58;1;8698;L;3;0;B28;;18110;11607;50294;;553
58;1;8700;L;3;0;B281;;6917;22494;50296;;271
58;1;8701;L;3;0;B286;;16652;23470;50297;;264
58;1;8703;L;3;0;B286;;23470;2651;50297;;303
58;1;8705;L;3;0;B290;;282;5508;50299;;300
58;1;8706;L;3;0;B290;;5508;2792;50299;;300
58;1;8707;L;3;0;B292;;2857;24088;50300;;284
58;1;8708;L;3;0;B292;;17443;15237;50300;;263
58;1;8709;L;3;0;B294;;8210;10735;50301;;280
58;1;8710;L;3;0;B294;;10735;8300;50301;;263
58;1;8713;L;3;0;B299;;946;15040;50303;;264
58;1;8714;L;3;0;B299;;15040;18447;50303;;293
58;1;8715;L;3;0;B299;;1338;9453;50303;;296
58;1;8718;L;3;0;B3;;27059;8210;50305;;280
58;1;8719;L;3;0;B3;;8210;7105;50305;;280
58;1;8720;L;3;0;B3;;19471;464;50305;;263
58;1;8721;L;3;0;B3;;2953;7531;50305;;284
58;1;8722;L;3;0;B3;;13184;10943;50305;;284
58;1;8723;L;3;0;B3;;10943;5680;50305;;1
58;1;8724;L;3;0;B3;;5680;19454;50305;;275
58;1;8725;L;3;0;B3;;8091;8327;50305;;261
58;1;8726;L;3;0;B3;;16562;13241;50305;;261
58;1;8727;L;3;0;B3;;13241;10116;50305;;1
58;1;8728;L;3;0;B3;;10116;18913;50305;;258
58;1;8729;L;3;0;B3;;7072;10561;50305;;258
58;1;8730;L;3;0;B3;;10561;5337;50305;;258
58;1;8731;L;3;0;B3;;5337;24148;50305;;258
58;1;8732;L;3;0;B3;;24148;5072;50305;;258
58;1;8733;L;3;0;B300;;16987;1851;50306;;299
58;1;8735;L;3;0;B300;;1851;595;50306;;299
58;1;8736;L;3;0;B300;;8841;17832;50306;;602
58;1;8740;L;3;0;B304;;5574;17776;50308;;294
58;1;8741;L;3;0;B304;;17776;26909;50308;;294
58;1;8742;L;3;0;B304;;26909;8266;50308;;294
58;1;8743;L;3;0;B305;;3614;21368;50309;;294
58;1;8744;L;3;0;B305;;21368;3421;50309;;294
58;1;8745;L;3;0;B305;;3421;22614;50309;;264
58;1;8747;L;3;0;B308;20912;15767;24190;50311;;299
58;1;8748;L;3;0;B308;20912;24190;11539;50311;;264
58;1;8753;L;3;0;B312;;17133;24913;50314;;263
58;1;8754;L;3;0;B313;;24720;24012;50315;;263
58;1;8755;L;3;0;B313;;24012;21491;50315;;263
58;1;8758;L;3;0;B32;;15787;26833;50318;;1
58;1;8760;L;3;0;B32;;10873;11988;50318;;263
58;1;8761;L;3;0;B321;;20779;23504;50319;;268
58;1;8762;L;3;0;B321;;23504;24980;50319;;1
58;1;8765;L;3;0;B326;;18426;6519;50321;;393
58;1;8767;L;3;0;B33;;21142;13926;50323;;263
58;1;8768;L;3;0;B33;;13926;24069;50323;;491
58;1;8771;L;3;0;B34;;9542;22808;50324;;280
58;1;8772;L;3;0;B34;;22808;24069;50324;;280
58;1;8773;L;3;0;B35;;12415;4628;50325;;284
58;1;8774;L;3;0;B35;;4628;9005;50325;;1
58;1;8775;L;3;0;B36;;14942;13330;50326;;263
58;1;8776;L;3;0;B36;;21060;13184;50326;;284
58;1;8777;L;3;0;B36;;13184;16523;50326;;284
58;1;8778;L;3;0;B37;;16094;16523;50327;;1
58;1;8779;L;3;0;B37;;16523;10943;50327;;284
58;1;8781;L;3;0;B38;;16523;26314;50328;;1
58;1;8782;L;3;0;B39;;8078;11665;50329;;1
58;1;8783;L;3;0;B39;;27639;10994;50329;;263
58;1;8784;L;3;0;B39;;10994;16424;50329;;300
58;1;8785;L;3;0;B4;;18999;3055;51232;;264
58;1;8786;L;3;0;B4;;3055;5445;51232;;295
58;1;8787;L;3;0;B4;;5445;7282;51232;;1
58;1;8788;L;3;0;B4;;7282;18844;51232;;271
58;1;8789;L;3;0;B4;;18844;2719;51232;;1
58;1;8790;L;3;0;B4;;2719;4431;51232;;258
58;1;8791;L;3;0;B4;;9147;25832;51232;;258
58;1;8792;L;3;0;B4;;25832;16302;51232;;258
58;1;8793;L;3;0;B4;;16302;10428;51232;;258
58;1;8794;L;3;0;B4;;10428;2649;51232;;1
58;1;8796;L;3;0;B40;;22504;21920;50331;;265
58;1;8798;L;3;0;B40;;16442;8098;50331;;1
58;1;8799;L;3;0;B40;;8099;16439;50331;;261
58;1;8804;L;3;0;B404;;16302;23421;50336;;1
