CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
58;1;20214;P;1;11;;3599;1146;1409;4740;;8432;;1;1;1;1;1;1;;;+01168410;+5213105;0;1
58;1;20215;P;1;12;;3599;11468;;1515;;8433;;1;1;1;1;1;1;;;+01173330;+5213790;0;0
58;1;20216;P;1;3;;;4941;;1515;;8433;;1;1;1;1;1;1;;;+01182185;+5222580;0;0
58;1;20217;P;3;37;;;4934;;1515;;8433;;1;1;1;1;1;1;;;+01186840;+5227335;0;0
58;1;20218;P;1;11;;;8928;;1515;;8433;;1;1;1;1;1;1;;;+01214875;+5239210;0;0
58;1;20219;P;3;37;;;6423;;1515;;8433;;1;1;1;1;1;1;;;+01227775;+5241125;0;0
58;1;20220;P;1;15;;;3395;;33558;;8433;;1;1;1;1;1;1;;;+01233200;+5241070;0;0
58;1;20221;P;1;10;;28300;16378;8004;979;;8433;;1;1;1;1;1;1;;;+01253110;+5241480;0;1
58;1;20222;P;1;10;;3607;18419;3367;41043;;8433;;1;1;1;1;1;1;;;+01259060;+5240170;0;0
58;1;20223;P;1;8;;4398;9687;15391;1390;;8434;;1;1;1;1;1;1;;;+01277050;+5240390;0;0
58;1;20224;P;1;3;;;9685;;34433;;8434;;1;1;1;1;1;1;;;+01283500;+5239370;0;0
58;1;20225;P;1;10;;4507;28370;7790;2177;;8434;;1;1;1;1;1;1;;;+01304310;+5239680;0;1
58;1;20226;P;1;10;;8383;20691;11070;2177;;8434;;1;1;1;1;1;1;;;+01306300;+5239240;0;1
58;1;20227;P;1;10;;3608;18957;3303;2177;;8434;;1;1;1;1;1;1;;;+01307030;+5240270;0;1
58;1;20230;P;3;2;;14468;9238;;;32541;8435;;0;0;0;0;1;1;;;+01309045;+5241350;0;1
58;1;20231;P;1;12;;14468;5361;;;32541;8435;;1;1;1;1;1;1;;;+01314785;+5241830;0;1
58;1;20232;P;1;12;;14468;14167;20697;;32541;8435;;1;1;1;1;1;1;;;+01317530;+5241995;0;1
58;1;20234;P;1;3;;20697;14091;;;32539;8435;;1;1;1;1;1;1;;;+01319600;+5242065;0;1
58;1;20235;P;1;10;;20697;24236;15887;;32539;8435;;1;1;1;1;1;1;;;+01322405;+5242960;0;1
58;1;20236;P;1;10;;20697;15812;;;5019;8435;;1;1;1;1;1;1;;;+01322995;+5243095;0;1
58;1;20237;P;1;11;;20700;16724;19605;;5019;8435;;1;1;1;1;1;1;;;+01325845;+5243550;0;1
58;1;20238;P;1;11;;20700;25319;5428;;5019;8435;;1;1;1;1;1;1;;;+01326050;+5243505;0;1
58;1;20239;P;1;11;;3607;5591;25439;;32542;8435;;1;1;1;1;1;1;;;+01328285;+5244185;0;1
58;1;20240;P;1;11;;25970;6253;10208;;32538;8435;;1;1;1;1;1;1;;;+01329375;+5244575;0;1
58;1;20241;P;1;3;;23119;27994;;;4977;8435;;1;1;1;1;1;1;;;+01331890;+5245430;0;1
58;1;20242;P;1;3;;20;7803;;;4977;8435;;1;1;1;1;1;1;;;+01332810;+5246040;0;0
58;1;20243;P;1;3;;20;22549;;;32537;8435;;1;1;1;1;1;1;;;+01333775;+5246705;0;0
