CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
58;1;3138;58;1;3136
58;1;3150;58;1;26552
58;1;3152;58;1;13007
58;1;3156;58;1;3171
58;1;3171;58;1;3156
58;1;3185;58;1;13109
58;1;3201;58;1;3205
58;1;3205;58;1;3201
58;1;3207;58;1;3208
58;1;3208;58;1;3207
58;1;3218;58;1;3235
58;1;3235;58;1;3218
58;1;3236;58;1;3014
58;1;3253;58;1;3257
58;1;3257;58;1;3253
58;1;3258;58;1;20408
58;1;3268;58;1;26518
58;1;3274;58;1;3288
58;1;3288;58;1;11699
58;1;3295;58;1;13182
58;1;3302;58;1;13176
58;1;3303;58;1;3339
58;1;3305;58;1;13199
58;1;3324;58;1;3461
58;1;3329;58;1;3331
58;1;3331;58;1;3329
58;1;3332;58;1;3344
58;1;3335;58;1;20406
58;1;3339;58;1;3303
58;1;3340;58;1;13197
58;1;3342;58;1;13184
58;1;3344;58;1;3332
58;1;3350;58;1;3354
58;1;3351;58;1;11502
58;1;3354;58;1;3350
58;1;3382;58;1;3386
58;1;3386;58;1;3382
58;1;3387;58;1;20999
58;1;3389;58;1;3402
58;1;3402;58;1;3389
58;1;3408;58;1;3421
58;1;3421;58;1;3408
58;1;3422;58;1;3524
58;1;3433;58;1;3525
58;1;3438;58;1;13206
58;1;3441;58;1;3491
58;1;3461;58;1;3324
58;1;3462;58;1;13192
58;1;3466;58;1;3534
58;1;3487;58;1;13204
58;1;3491;58;1;3441
58;1;3494;58;1;3498
58;1;3498;58;1;3494
58;1;3499;58;1;22450
58;1;3520;58;1;10212
58;1;3524;58;1;3422
58;1;3525;58;1;3433
58;1;3534;58;1;3466
58;1;3560;58;1;3567
58;1;3562;58;1;34025
58;1;3567;58;1;3560
58;1;3571;58;1;3575
58;1;3572;58;1;3615
58;1;3575;58;1;3571
58;1;3599;58;1;3626
58;1;3615;58;1;3572
58;1;3618;58;1;3637
58;1;3626;58;1;3599
58;1;3637;58;1;3618
58;1;3643;58;1;3662
58;1;3654;58;1;3659
58;1;3659;58;1;3654
58;1;3662;58;1;3643
58;1;3677;58;1;3686
58;1;3686;58;1;3677
58;1;3700;58;1;3756
58;1;3727;58;1;3729
58;1;3728;58;1;3744
58;1;3729;58;1;3727
58;1;3744;58;1;3728
58;1;3756;58;1;3700
58;1;3783;58;1;3787
58;1;3787;58;1;3783
58;1;3795;58;1;14249
58;1;3803;58;1;20517
58;1;3804;58;1;22041
58;1;3828;58;1;20515
58;1;3841;58;1;3877
58;1;3847;58;1;3873
58;1;3873;58;1;3847
58;1;3877;58;1;3841
58;1;3888;58;1;3904
58;1;3899;58;1;20398
58;1;3904;58;1;3888
58;1;3909;58;1;21521
58;1;3911;58;1;3927
58;1;3927;58;1;3911
58;1;3959;58;1;20395
58;1;3960;58;1;3969
58;1;3969;58;1;3960
58;1;4013;58;1;20372
58;1;4015;58;1;4019
58;1;4019;58;1;4015
58;1;4072;58;1;14372
58;1;4229;58;1;56744
58;1;4409;58;1;30638
58;1;4474;58;1;21010
58;1;4481;58;1;26917
58;1;4488;58;1;4491
58;1;4491;58;1;4488
58;1;4502;58;1;26799
58;1;4508;58;1;32679
58;1;4512;58;1;29600
58;1;4522;58;1;4523
58;1;4523;58;1;4522
58;1;4527;58;1;31184
58;1;4535;58;1;31041
58;1;4538;58;1;31149
58;1;4549;58;1;41063
58;1;4568;58;1;26914
58;1;4569;58;1;31195
58;1;4570;58;1;4572
58;1;4572;58;1;4570
58;1;4582;58;1;31043
58;1;4583;58;1;26918
58;1;4584;58;1;4590
58;1;4588;58;1;4591
58;1;4590;58;1;4584
58;1;4591;58;1;4588
58;1;4594;58;1;26711
58;1;4603;58;1;27203
58;1;4604;58;1;20075
58;1;4612;58;1;20266
58;1;4619;58;1;26845
58;1;4633;58;1;2639
58;1;4637;58;1;26771
58;1;4647;58;1;10251
58;1;4651;58;1;26785
58;1;4652;58;1;4653
58;1;4653;58;1;41170
58;1;4656;58;1;14472
58;1;4661;58;1;4685
58;1;4674;58;1;26963
58;1;4684;58;1;25618
58;1;4685;58;1;4661
58;1;4709;58;1;26797
58;1;4718;58;1;26792
58;1;4730;58;1;4731
58;1;4731;58;1;4730
58;1;4748;58;1;34661
58;1;4774;58;1;34685
58;1;4790;58;1;43231
58;1;4836;58;1;34805
58;1;4842;58;1;4858
58;1;4858;58;1;4898
58;1;4870;58;1;28203
58;1;4898;58;1;4842
58;1;4904;58;1;34905
58;1;5282;58;1;43729
58;1;5301;58;1;5590
58;1;5319;58;1;5569
58;1;5329;58;1;5343
58;1;5330;58;1;5353
58;1;5343;58;1;5329
58;1;5353;58;1;5330
58;1;5363;58;1;5374
58;1;5374;58;1;5363
58;1;5384;58;1;43562
58;1;5403;58;1;5564
58;1;5404;58;1;10348
58;1;5412;58;1;5519
58;1;5432;58;1;5485
58;1;5458;58;1;5583
58;1;5485;58;1;5432
58;1;5519;58;1;5412
58;1;5529;58;1;43544
58;1;5530;58;1;5536
58;1;5533;58;1;5458
58;1;5534;58;1;5538
58;1;5536;58;1;5530
58;1;5538;58;1;5534
58;1;5542;58;1;43682
58;1;5544;58;1;5580
58;1;5547;58;1;5570
58;1;5549;58;1;5579
58;1;5552;58;1;5558
58;1;5555;58;1;5574
58;1;5557;58;1;5542
58;1;5558;58;1;5552
58;1;5561;58;1;5571
58;1;5564;58;1;5403
58;1;5569;58;1;5319
58;1;5570;58;1;5578
